Nombre Comuna;Código Comuna desde 2018;Nombre Región desde 2018;Código Región desde 2018
Arica;15101;De Arica y Parinacota;15
Camarones;15102;De Arica y Parinacota;15
Putre;15201;De Arica y Parinacota;15
General Lagos;15202;De Arica y Parinacota;15
Iquique;1101;De Tarapacá;1
Camiña;1402;De Tarapacá;1
Colchane;1403;De Tarapacá;1
Huara;1404;De Tarapacá;1
Pica;1405;De Tarapacá;1
Pozo Almonte;1401;De Tarapacá;1
Alto Hospicio;1107;De Tarapacá;1
Antofagasta;2101;De Antofagasta;2
Mejillones;2102;De Antofagasta;2
Sierra Gorda;2103;De Antofagasta;2
Taltal;2104;De Antofagasta;2
Calama;2201;De Antofagasta;2
Ollagüe;2202;De Antofagasta;2
San Pedro de Atacama;2203;De Antofagasta;2
Tocopilla;2301;De Antofagasta;2
María Elena;2302;De Antofagasta;2
Copiapó;3101;De Atacama;3
Caldera;3102;De Atacama;3
Tierra Amarilla;3103;De Atacama;3
Chañaral;3201;De Atacama;3
Diego de Almagro;3202;De Atacama;3
Vallenar;3301;De Atacama;3
Alto del Carmen;3302;De Atacama;3
Freirina;3303;De Atacama;3
Huasco;3304;De Atacama;3
La Serena;4101;De Coquimbo;4
Coquimbo;4102;De Coquimbo;4
Andacollo;4103;De Coquimbo;4
La Higuera;4104;De Coquimbo;4
Paiguano;4105;De Coquimbo;4
Vicuña;4106;De Coquimbo;4
Illapel;4201;De Coquimbo;4
Canela;4202;De Coquimbo;4
Los Vilos;4203;De Coquimbo;4
Salamanca;4204;De Coquimbo;4
Ovalle;4301;De Coquimbo;4
Combarbalá;4302;De Coquimbo;4
Monte Patria;4303;De Coquimbo;4
Punitaqui;4304;De Coquimbo;4
Río Hurtado;4305;De Coquimbo;4
Valparaíso;5101;De Valparaíso;5
Casablanca;5102;De Valparaíso;5
Concón;5103;De Valparaíso;5
Juan Fernández;5104;De Valparaíso;5
Puchuncaví;5105;De Valparaíso;5
Quilpué;5801;De Valparaíso;5
Quintero;5107;De Valparaíso;5
Villa Alemana;5804;De Valparaíso;5
Viña del Mar;5109;De Valparaíso;5
Isla  de Pascua;5201;De Valparaíso;5
Los Andes;5301;De Valparaíso;5
Calle Larga;5302;De Valparaíso;5
Rinconada;5303;De Valparaíso;5
San Esteban;5304;De Valparaíso;5
La Ligua;5401;De Valparaíso;5
Cabildo;5402;De Valparaíso;5
Papudo;5403;De Valparaíso;5
Petorca;5404;De Valparaíso;5
Zapallar;5405;De Valparaíso;5
Quillota;5501;De Valparaíso;5
Calera;5502;De Valparaíso;5
Hijuelas;5503;De Valparaíso;5
La Cruz;5504;De Valparaíso;5
Limache;5802;De Valparaíso;5
Nogales;5506;De Valparaíso;5
Olmué;5803;De Valparaíso;5
San Antonio;5601;De Valparaíso;5
Algarrobo;5602;De Valparaíso;5
Cartagena;5603;De Valparaíso;5
El Quisco;5604;De Valparaíso;5
El Tabo;5605;De Valparaíso;5
Santo Domingo;5606;De Valparaíso;5
San Felipe;5701;De Valparaíso;5
Catemu;5702;De Valparaíso;5
Llaillay;5703;De Valparaíso;5
Panquehue;5704;De Valparaíso;5
Putaendo;5705;De Valparaíso;5
Santa María;5706;De Valparaíso;5
Rancagua;6101;Del Libertador B. O'Higgins;6
Codegua;6102;Del Libertador B. O'Higgins;6
Coinco;6103;Del Libertador B. O'Higgins;6
